cep,urdu_input,english_output
23,رکشے والے نے صبح دفتر جاتے وقت اتنا کرایہ مانگا کہ مجھے لگا جیسے میں ٹیکسی میں بیٹھا ہوں، لیکن مجبوراً جانا تھا اس لیے دینا پڑا۔,"The rickshaw driver charged so much on the way to the office that I thought I was in a taxi — but I had no choice, so I had to pay."
24,کراچی میں بارش ہو جائے تو سڑکوں پر پانی جمع ہو جاتا ہے، اور پھر ٹریفک جام اتنا بڑھ جاتا ہے کہ گھنٹوں گاڑیاں ایک ہی جگہ پھنسی رہتی ہیں۔,"Whenever it rains in Karachi, water piles up on the roads and the traffic jam gets so bad that cars stay stuck in the same spot for hours."
25,کل صدر گیا تھا، وہاں اتنا رش تھا کہ چلنا مشکل ہو گیا، اور ہر دکان پر لوگ بھاؤ تاؤ کر رہے تھے جیسے سب کچھ مفت مل رہا ہو۔,"Went to Saddar yesterday — it was so crowded you could barely walk, and everyone at every shop was bargaining like everything was going for free."
26,کراچی کے لوگ دل کے بڑے صاف ہیں، چاہے حالات کتنے ہی مشکل کیوں نہ ہوں، وہ دوسروں کی مدد کرنے کے لیے ہمیشہ تیار رہتے ہیں۔,"Karachi people are genuinely warm-hearted — no matter how tough things get, they're always ready to help others."
27,کل جب بجلی گئی تو پورے محلے کے لوگ باہر نکل آئے، اور سب نے مل کر باتیں کیں جیسے کوئی محلہ میٹنگ ہو رہی ہو۔,"When the electricity went out yesterday, the whole neighborhood came outside and everyone chatted together like a community gathering."
28,کراچی کی راتیں بڑی رنگین ہوتی ہیں، چائے کے ہوٹلوں پر بیٹھے لوگ گپ شپ کرتے ہیں اور سڑکوں پر زندگی کبھی رُکتی نہیں۔,"Karachi nights are lively — people sit at tea stalls chatting away, and life on the streets never stops."
29,کل دوست کے ساتھ لیاری گیا تھا، وہاں کے لوگ بڑے خوش مزاج ہیں، اور ہر کوئی اپنی کہانی سنانے کے لیے تیار بیٹھا ہوتا ہے۔,Went to Lyari with a friend yesterday — the people there are very cheerful and everyone seems ready to share their story.
30,کراچی میں گرمی کے دنوں میں بجلی کا جانا سب سے بڑا مسئلہ ہوتا ہے، اور لوگ جنریٹر یا یو پی ایس پر گزارا کرتے ہیں۔,"During summer in Karachi, load-shedding is the biggest problem, and people survive on generators and UPS units."
31,جب میں بس میں بیٹھا تو اتنا رش تھا کہ کھڑے ہونے کی بھی جگہ نہیں تھی، اور لوگ ایک دوسرے پر چڑھ کر سفر کر رہے تھے۔,"When I got on the bus, it was so packed there was barely room to stand — people were practically climbing on top of each other."
32,کراچی کے ساحل پر شام کے وقت بیٹھنا ایک الگ سکون دیتا ہے، اور سمندر کی لہریں دل کو خوش کر دیتی ہیں۔,"Sitting by the Karachi coast in the evening gives a unique sense of peace, and the waves just lift your spirits."
33,کل جب میں بازار گیا تو سبزی والے نے اتنے زیادہ دام بتائے کہ مجھے لگا جیسے مہنگائی آسمان کو چھو رہی ہے۔,"When I went to the market yesterday, the vegetable seller quoted such high prices it felt like inflation had gone through the roof."
34,کراچی کے لوگ چائے کے شوقین ہیں، اور ہر گلی محلے میں چائے کا ہوٹل ضرور ہوتا ہے جہاں لوگ بیٹھ کر گپ شپ کرتے ہیں۔,Karachites are big tea lovers — every street and neighborhood has a chai stall where people sit and gossip.
35,جب بارش ہوتی ہے تو بچے خوشی سے باہر نکل کر کھیلنے لگتے ہیں، اور بڑے پریشان ہو جاتے ہیں کہ پانی کہاں جائے گا۔,"When it rains, kids rush outside to play happily while adults stress out about where all that water will go."
36,کراچی کی سڑکوں پر ٹریفک کا حال ایسا ہے کہ کبھی کبھی ایک جگہ سے دوسری جگہ جانے میں گھنٹوں لگ جاتے ہیں۔,Karachi traffic is so bad that sometimes it takes hours to get from one place to another.
37,کل جب میں دوستوں کے ساتھ بریانی کھانے گیا تو ریسٹورنٹ میں اتنا رش تھا کہ بیٹھنے کی جگہ بھی مشکل سے ملی۔,"When I went with friends to eat biryani, the restaurant was so packed we barely found a place to sit."
38,کراچی کے لوگ مشکل حالات میں بھی ہنسنے اور خوش رہنے کا طریقہ جانتے ہیں، اور یہی ان کی سب سے بڑی خوبی ہے۔,Karachi people know how to laugh and stay positive even in tough times — that's their biggest strength.
39,جب میں رکشے میں بیٹھا تو ڈرائیور نے کہا کہ پیٹرول مہنگا ہو گیا ہے، اس لیے کرایہ بھی بڑھانا پڑے گا۔,"When I got in the rickshaw, the driver said petrol has gotten expensive so the fare would have to go up."
40,کراچی میں ہر تہوار بڑے جوش و خروش سے منایا جاتا ہے، چاہے وہ عید ہو یا آزادی کا دن۔,"Every festival in Karachi is celebrated with great enthusiasm, whether it's Eid or Independence Day."
41,کل جب میں کتابوں کی مارکیٹ گیا تو وہاں اتنی پرانی اور نایاب کتابیں دیکھ کر دل خوش ہو گیا۔,"When I visited the book market yesterday, seeing so many old and rare books was a real treat."
42,کراچی کی فش مارکیٹ میں صبح کے وقت اتنا شور ہوتا ہے کہ لگتا ہے جیسے پورا شہر وہاں جمع ہو گیا ہے۔,The Karachi fish market in the morning is so noisy it feels like the whole city has gathered there.
43,جب میں دوستوں کے ساتھ پارک گیا تو بچوں کو جھولوں پر کھیلتے دیکھ کر بچپن کی یادیں تازہ ہو گئیں۔,"When I went to the park with friends, watching the children on swings brought back childhood memories."
44,کراچی کے لوگ محنتی ہیں، اور دن رات کام کر کے اپنے گھر کا خرچ پورا کرتے ہیں۔,Karachi people are hardworking — they work day and night to keep their households running.
45,کل جب میں بس اسٹاپ پر کھڑا تھا تو بارش شروع ہو گئی، اور سب لوگ ایک دوسرے کے ساتھ چھتری بانٹنے لگے۔,"Yesterday when I was waiting at the bus stop, rain suddenly started and everyone began sharing umbrellas."
46,کراچی کی گلیوں میں ہر وقت زندگی رواں دواں رہتی ہے، چاہے دن ہو یا رات۔,"Karachi's streets are alive at all hours — day or night, there's always something going on."
47,جب میں دوست کے ساتھ شادی میں گیا تو وہاں کھانے کا اتنا اہتمام تھا کہ سب لوگ خوش ہو گئے۔,"When I attended a wedding with a friend, the food spread was so impressive that everyone was delighted."
48,کراچی کے ساحل پر شام کے وقت چائے پینا ایک الگ لطف دیتا ہے، اور لوگ دور دور سے اس کے لیے آتے ہیں۔,Drinking tea by the Karachi coast in the evening is a unique pleasure — people come from far and wide for it.
49,کل جب میں دفتر گیا تو راستے میں اتنا ٹریفک جام تھا کہ مجھے دیر ہو گئی۔,"When I went to the office yesterday, the traffic jam on the way made me late."
50,کراچی کے لوگ مشکل وقت میں ایک دوسرے کا سہارا بنتے ہیں، اور یہی ان کی اصل طاقت ہے۔,Karachi people become each other's support in difficult times — that's their real strength.
51,جب میں بازار گیا تو کپڑوں کی دکانوں پر اتنا رش تھا کہ چلنا مشکل ہو گیا۔,"When I went to the market, the clothing shops were so packed it was hard to move."
52,کراچی میں ہر موسم کا اپنا مزہ ہے، گرمی میں سمندر اور سردی میں چائے۔,Every season in Karachi has its own charm — the sea in summer and tea in winter.
53,کل جب میں دوستوں کے ساتھ فلم دیکھنے گیا تو سینما ہال میں اتنا شور تھا کہ فلم سمجھنا مشکل ہو گیا۔,"When I went to see a movie with friends, the cinema hall was so noisy it was hard to follow the film."
54,کراچی کے لوگ کھانے پینے کے بڑے شوقین ہیں، اور ہر جگہ کوئی نہ کوئی خاص ڈش مل جاتی ہے۔,Karachites are passionate about food — you'll find a special dish somewhere no matter where you go.
55,جب میں رکشے میں بیٹھا تو ڈرائیور نے اپنی زندگی کی کہانی سنانی شروع کر دی، اور سفر دلچسپ ہو گیا۔,"When I got in the rickshaw, the driver started sharing his life story and the ride became entertaining."
56,کراچی میں ہر گلی محلے میں بچے کرکٹ کھیلتے ہیں، اور یہی کھیل ان کی سب سے بڑی خوشی ہے۔,Kids play cricket in every street in Karachi — it's the greatest joy in their lives.
57,کل جب میں اسپتال گیا تو وہاں اتنا رش تھا کہ ڈاکٹر سے ملنے کے لیے گھنٹوں انتظار کرنا پڑا۔,"When I went to the hospital, it was so crowded I had to wait for hours just to see a doctor."
58,کراچی کے لوگ مشکل حالات میں بھی امید نہیں چھوڑتے، اور یہی ان کی سب سے بڑی خوبی ہے۔,Karachi people never lose hope in tough situations — that's their greatest quality.
59,جب میں دوستوں کے ساتھ سمندر گیا تو لہروں کی آواز نے دل کو سکون دیا۔,"When I went to the sea with friends, the sound of the waves brought a sense of calm."
60,کراچی میں ہر دن ایک نئی کہانی ہوتی ہے، اور لوگ اپنی زندگی کو خوشی سے گزارنے کی کوشش کرتے ہیں۔,"Every day in Karachi has a new story, and people try their best to enjoy life regardless."
61,کل جب میں بازار گیا تو وہاں اتنی روشنی تھی کہ لگ رہا تھا جیسے کوئی تہوار ہو۔,"When I went to the market yesterday, it was so brightly lit it looked like a festival was going on."
62,کراچی کے لوگ ہر وقت مصروف رہتے ہیں، اور یہی شہر کی اصل پہچان ہے۔,Karachi people are always busy — that's the true identity of this city.
63,جب میں دوست کے ساتھ بریانی کھانے گیا تو ذائقہ اتنا اچھا تھا کہ دل خوش ہو گیا۔,"When I went with a friend to eat biryani, the taste was so good it made my day."
64,کراچی میں بارش کے بعد سڑکوں پر پانی جمع ہو جاتا ہے، اور لوگ پریشان ہو جاتے ہیں۔,"After rain in Karachi, water piles up on the roads and people get stressed out."
65,کل جب میں دفتر گیا تو راستے میں رکشے والے نے اتنا شور مچایا کہ سب لوگ ہنسنے لگے۔,"When I was on my way to the office, the rickshaw driver made such a scene that everyone started laughing."
66,کراچی کے لوگ دل کے بڑے صاف ہیں، اور دوسروں کی مدد کرنے کے لیے ہمیشہ تیار رہتے ہیں۔,Karachi people have big hearts and are always ready to help others.
67,جب میں دوستوں کے ساتھ پارک گیا تو بچوں کو کھیلتے دیکھ کر دل خوش ہو گیا۔,"When I went to the park with friends, watching children play made me happy."
68,کراچی میں ہر رات ایک نئی رونق ہوتی ہے، اور لوگ دیر تک جاگتے ہیں۔,Every night in Karachi has its own buzz — people stay up late.
69,کل جب میں بازار گیا تو سبزی والے نے اتنے زیادہ دام بتائے کہ مجھے حیرت ہوئی۔,"When I went to the market yesterday, the vegetable seller's prices shocked me."
70,کراچی کے لوگ مشکل وقت میں بھی ہنسنے اور خوش رہنے کا طریقہ جانتے ہیں۔,Karachi people know how to laugh and stay happy even in tough times.
71,جب میں رکشے میں بیٹھا تو ڈرائیور نے کہا کہ پیٹرول مہنگا ہو گیا ہے۔,"When I got in the rickshaw, the driver said petrol has gotten expensive."
72,کراچی میں ہر تہوار بڑے جوش و خروش سے منایا جاتا ہے۔,Every festival in Karachi is celebrated with great enthusiasm.
73,کل جب میں کتابوں کی مارکیٹ گیا تو وہاں نایاب کتابیں دیکھ کر دل خوش ہو گیا۔,"When I went to the book market, seeing rare books made me happy."
74,کراچی کی فش مارکیٹ میں صبح کے وقت اتنا شور ہوتا ہے کہ لگتا ہے پورا شہر وہاں جمع ہو گیا ہے۔,The fish market in Karachi is so loud in the morning it feels like the whole city is there.
75,جب میں دوستوں کے ساتھ پارک گیا تو بچپن کی یادیں تازہ ہو گئیں۔,"When I went to the park with friends, it brought back childhood memories."
76,کراچی کے لوگ محنتی ہیں، اور دن رات کام کرتے ہیں۔,Karachi people are hardworking and grind day and night.
77,کل جب میں بس اسٹاپ پر کھڑا تھا تو بارش شروع ہو گئی۔,"Yesterday while I was at the bus stop, rain suddenly started."
78,کراچی کی گلیوں میں ہر وقت زندگی رواں دواں رہتی ہے۔,Karachi's streets are always buzzing with life.
79,کراچی میں جب گرمی اپنے عروج پر ہوتی ہے تو لوگ سمندر کی طرف بھاگتے ہیں تاکہ ٹھنڈی ہوا کا مزہ لے سکیں اور کچھ دیر سکون محسوس کر سکیں۔,"When the heat peaks in Karachi, everyone rushes to the beach to catch a cool breeze and find some relief."
80,کل جب میں دوستوں کے ساتھ صدر گیا تو وہاں اتنا رش تھا کہ چلنا مشکل ہو گیا، اور ہر دکان پر لوگ بھاؤ تاؤ کر رہے تھے جیسے سب کچھ مفت مل رہا ہو۔,"When I went to Saddar with friends, it was so crowded you could barely walk and everyone at every shop was bargaining like things were free."
81,جب میں دوست کے ساتھ شادی میں گیا تو کھانے کا اتنا اہتمام تھا کہ سب خوش ہو گئے۔,"When I went with a friend to a wedding, the food spread was so good that everyone went home happy."
82,کراچی کے ساحل پر شام کے وقت چائے پینا ایک الگ لطف دیتا ہے۔,Having tea by the Karachi coast in the evening is a unique pleasure.
83,کراچی میں رہنے کے لیے ایڈجسٹ کرنا ضروری ہے۔,You have to learn to adapt to live in Karachi.
84,یہاں ہر بندہ اپنی ہی فکر میں لگا رہتا ہے۔,Everyone here is only worried about themselves.
85,یار کبھی کبھی لگتا ہے یہ شہر سونے ہی نہیں دیتا۔,"Dude, sometimes it feels like this city just won't let you sleep."
86,صبح کا ناشتہ بھی جلدی جلدی کرنا پڑتا ہے۔,Even breakfast has to be eaten in a rush here.
87,یہاں دوستی بھی مضبوط ہوتی ہے کیونکہ سب مشکلات ساتھ جھیلتے ہیں۔,Friendships here are strong because everyone goes through hardships together.
88,یار چھٹی کا دن بھی کاموں میں گزر جاتا ہے۔,"Dude, even your day off gets eaten up by chores."
89,بازار جاؤ تو اتنا رش ہوتا ہے کہ چلنا مشکل ہو جاتا ہے۔,"When you go to the market, it's so crowded you can barely walk."
90,کراچی کے لوگ مشکل حالات میں بھی ہنسنا نہیں چھوڑتے۔,Karachi people never stop smiling even in the toughest situations.
91,یہاں ہر گلی میں کوئی نہ کوئی کہانی ہوتی ہے۔,Every street here has its own story.
92,کبھی کبھی شہر کا شور سر میں درد بن جاتا ہے۔,Sometimes the noise of the city turns into a pounding headache.
93,یار یہاں سکون صرف رات دیر سے ملتا ہے۔,"Dude, the only peace you get here is late at night."
94,گرمی میں پانی بھی جلدی ختم ہو جاتا ہے۔,"In the heat, even water runs out fast."
95,دفتر میں کام کے بعد بھی ذہن تھکا ہوا رہتا ہے۔,"Even after office work, your mind stays exhausted."
96,کراچی میں ہر دن ایک نیا تجربہ ہوتا ہے۔,Every day in Karachi brings a new experience.
97,یہاں ہر کوئی اپنی جدوجہد میں مصروف ہے۔,Everyone here is caught up in their own struggle.
98,یار کبھی کبھی لگتا ہے بس چھٹی لے کر کہیں دور چلے جائیں۔,"Dude, sometimes I just want to take time off and get away somewhere far."
99,کراچی کی زندگی تیز بھی ہے اور مشکل بھی۔,Life in Karachi is both fast-paced and tough.
100,یہاں ہر بندہ وقت کے پیچھے بھاگ رہا ہے۔,Everyone here is racing against time.
101,گرمی میں سڑک پر چلنا بھی ایک چیلنج ہوتا ہے۔,Walking on the road in summer is itself a challenge.
102,یہاں کے لوگ حالات کے عادی ہو چکے ہیں۔,The people here have gotten used to the way things are.
103,یار بجلی کے بغیر تو سب کام رک جاتے ہیں۔,"Dude, without electricity everything just comes to a halt."
104,کراچی میں بارش آ جائے تو خوشی کے ساتھ پریشانی بھی آتی ہے۔,"When it rains in Karachi, it brings both joy and headaches."
105,دفتر کا سفر ہی آدھا دن لے لیتا ہے۔,Just the commute to the office eats up half the day.
106,یہاں ہر بندہ تھوڑا تھوڑا پریشان لگتا ہے۔,Everyone here looks a little stressed out.
107,کبھی کبھی شہر کی رفتار بہت تیز لگتی ہے۔,Sometimes the pace of this city just feels too fast.
108,یار ٹریفک میں کھڑے کھڑے بندہ خود سے باتیں کرنے لگتا ہے۔,"Dude, standing stuck in traffic makes you start talking to yourself."
109,کراچی کی سڑکوں پر ڈرائیونگ کرنا ہمت کا کام ہے۔,Driving on Karachi's roads takes real courage.
110,یہاں ہر چیز مہنگی ہوتی جا رہی ہے۔,Everything here keeps getting more expensive.
111,گرمی میں نیند بھی پوری نہیں ہوتی۔,"In the heat, you can't even get a proper night's sleep."
112,کراچی میں زندگی آسان نہیں مگر دلچسپ ضرور ہے۔,"Life in Karachi isn't easy, but it's definitely interesting."
113,یار کبھی کبھی لگتا ہے سب کچھ بہت تیزی سے بدل رہا ہے۔,"Dude, sometimes it feels like everything is changing way too fast."
114,یہاں ہر بندہ کسی نہ کسی مقصد کے لیے بھاگ رہا ہے۔,Everyone here is chasing some goal or another.
115,بازاروں میں اتنا شور ہوتا ہے کہ سر چکرانے لگتا ہے۔,The markets are so noisy they make your head spin.
116,کراچی میں وقت کا پتہ ہی نہیں چلتا۔,"In Karachi, you don't even notice time passing."
117,یہاں ہر دن نیا چیلنج لے کر آتا ہے۔,Every day here brings a new challenge.
118,یار کبھی کبھی بس خاموشی چاہیے ہوتی ہے۔,"Dude, sometimes you just crave some silence."
119,کراچی میں سکون تلاش کرنا بھی ایک کام ہے۔,Finding peace in Karachi is a task in itself.
120,یہاں ہر بندہ اپنی جگہ بنانے کی کوشش میں ہے۔,Everyone here is trying to carve out their own place.
121,گرمی میں کام کرنے کا دل ہی نہیں کرتا۔,"In the heat, you have no motivation to work at all."
122,کراچی میں ہر کوئی مضبوط بن جاتا ہے۔,Living in Karachi toughens you up.
123,یار یہاں دوست ہی اصل سہارا ہوتے ہیں۔,"Dude, friends are your real support system here."
124,کراچی کی زندگی میں مزہ بھی ہے اور مشکل بھی۔,Life in Karachi has both its fun and its hardships.
125,یہاں ہر بندہ کہانیوں سے بھرا ہوا ہے۔,Everyone here is full of stories.
126,گرمی میں باہر نکلنا بھی سوچ سمجھ کر ہوتا ہے۔,Even going out in summer requires careful planning.
127,کراچی میں وقت کی قدر سیکھنے کو ملتی ہے۔,Karachi teaches you the value of time.
128,یار یہاں ہر دن کچھ نیا سیکھنے کو ملتا ہے۔,"Dude, every day here teaches you something new."
129,کراچی میں محنت کے بغیر کچھ نہیں ملتا۔,"In Karachi, nothing comes without hard work."
130,یہاں ہر بندہ کسی نہ کسی خواب کے پیچھے بھاگ رہا ہے۔,Everyone here is chasing some dream or another.
131,گرمی میں چائے بھی عجیب لگتی ہے مگر پھر بھی پیتے ہیں۔,"Tea seems a bit odd in the heat, but we drink it anyway."
132,کراچی کی سڑکیں کبھی خالی نہیں ہوتیں۔,Karachi's roads are never empty.
133,یار یہاں زندگی رکتی نہیں، بس چلتی رہتی ہے۔,"Dude, life here doesn't stop — it just keeps going."
134,کراچی میں ہر مشکل کے ساتھ ایک سبق بھی ملتا ہے۔,Every difficulty in Karachi comes with a lesson.
135,یہاں ہر بندہ وقت سے لڑ رہا ہے۔,Everyone here is fighting the clock.
136,گرمی میں تھکن جلدی ہو جاتی ہے۔,Fatigue hits you faster in the heat.
137,کراچی میں رہ کر انسان مضبوط بن جاتا ہے۔,Living in Karachi makes you a stronger person.
138,یار یہاں ہر چیز کے لیے محنت کرنی پڑتی ہے۔,"Dude, you have to work hard for everything here."
139,کراچی کی زندگی میں آرام کم اور کام زیادہ ہے۔,Life in Karachi means less rest and more work.
140,یہاں ہر بندہ اپنی دنیا میں مصروف ہے۔,Everyone here is caught up in their own world.
141,گرمی میں مزاج بھی جلدی خراب ہو جاتا ہے۔,"In the heat, your mood sours quickly too."
142,کراچی میں ہر دن ایک نئی کہانی ہوتا ہے۔,Every day in Karachi has a new story.
143,یار یہاں ہر مشکل کے بعد آسانی بھی آتی ہے۔,"Dude, after every hardship comes ease."
144,کراچی میں دوستیوں کی بہت قدر ہوتی ہے۔,Friendships are highly valued in Karachi.
145,e,e
146,گرمی میں پانی کی اہمیت سمجھ آتی ہے۔,The heat makes you truly appreciate water.
147,کراچی میں زندگی کبھی بور نہیں ہونے دیتی۔,Life in Karachi never lets you get bored.
148,یار یہاں ہر چیز کا اپنا الگ مزہ ہے۔,"Dude, everything here has its own unique flavor."
149,یہاں ہر بندہ کچھ نہ کچھ سیکھ رہا ہوتا ہے۔,Everyone here is learning something or the other.
150,گرمی میں سایہ بھی نعمت لگتا ہے۔,"In the heat, even a patch of shade feels like a blessing."
151,کراچی میں رہ کر انسان ہر حال میں جینا سیکھ جاتا ہے۔,Living in Karachi teaches you to survive in any situation.
152,یار آج صبح جب میں بس اسٹاپ پر کھڑا تھا تو اتنی گرمی تھی کہ پسینہ بہہ رہا تھا، اوپر سے بس بھی دیر سے آئی اور لوگ ایک دوسرے سے شکایتیں کر رہے تھے کہ یہ شہر میں ٹرانسپورٹ کا حال کب بہتر ہوگا۔,"Dude, this morning I was standing at the bus stop sweating in the heat, the bus was also late, and people were complaining about when public transport in this city will ever improve."
153,کل جب بارش شروع ہوئی تو پورے علاقے کی بجلی چلی گئی، اور سڑکوں پر اتنا پانی بھر گیا کہ گاڑیاں رک گئیں، بچے خوشی سے کھیلنے لگے لیکن بڑے پریشان ہو گئے کہ یہ پانی کب نکلے گا اور زندگی کب معمول پر آئے گی۔,"Yesterday when the rain started, the whole area lost power, roads flooded so badly that cars stopped, kids started playing happily but adults panicked about when the water would drain and life would get back to normal."
154,کراچی میں بریانی کا ذائقہ ایسا ہے کہ ایک بار کھانے کے بعد انسان بار بار اسی جگہ جانے پر مجبور ہو جاتا ہے، اور دوستوں کے ساتھ بیٹھ کر اس پر بحث بھی شروع ہو جاتی ہے کہ کون سی جگہ کی بریانی سب سے بہترین ہے۔,"Karachi biryani is so addictive that once you taste it, you just have to keep going back — and it always sparks a debate among friends about which place makes the best one."
155,جب میں دوستوں کے ساتھ کلفٹن گیا تو سمندر کی ہوا نے سارا دن خوشگوار بنا دیا، اور شام کو جب ہم نے چائے کے ساتھ پکوڑے کھائے تو ایسا لگا جیسے ساری تھکن اور پریشانیاں ختم ہو گئی ہوں۔,"When I went to Clifton with friends, the sea breeze made the whole day wonderful, and when we had pakoras with tea in the evening, it felt like all the tiredness and worries had just melted away."
156,کل جب بجلی گئی تو پورے محلے کے لوگ باہر نکل آئے، کچھ نے پنکھے ہاتھ میں پکڑ لیے اور کچھ نے چھتوں پر بیٹھ کر ہوا لینے کی کوشش کی، اور سب نے ایک دوسرے کے ساتھ ہنسی مذاق کیا تاکہ وقت آسانی سے گزر جائے۔,"When the electricity went out yesterday, the whole neighborhood came outside — some grabbed hand fans, some went up to the rooftop for air, and everyone laughed and joked together to pass the time."
157,کراچی کی راتوں میں چائے کے ہوٹلوں پر بیٹھے لوگ سیاست، کھیل اور روزمرہ زندگی پر بحث کرتے ہیں، اور یہ محفلیں اتنی دلچسپ ہوتی ہیں کہ وقت کا پتہ ہی نہیں چلتا اور لوگ دیر تک بیٹھے رہتے ہیں۔,"At Karachi's late-night chai stalls, people debate politics, sports, and everyday life — the gatherings are so enjoyable that time flies and no one wants to leave."
158,کل جب میں سبزی لینے گیا تو دکاندار نے اتنے زیادہ دام بتائے کہ مجھے لگا جیسے مہنگائی نے عام آدمی کی زندگی کو مشکل بنا دیا ہے، اور لوگ مجبوراً کم چیزیں خریدنے لگے ہیں تاکہ گھر کا خرچ پورا ہو سکے۔,"When I went to buy vegetables yesterday, the shopkeeper quoted such high prices it felt like inflation has crushed the common man — people are now buying less just to make ends meet."
159,کراچی میں ہر گلی محلے میں بچے کرکٹ کھیلتے ہیں، ان کی آوازیں پورے علاقے کو زندہ کر دیتی ہیں اور بڑے بھی کبھی کبھی کھیل میں شامل ہو کر بچپن کی یادیں تازہ کرتے ہیں۔,"Kids play cricket in every street in Karachi — their voices bring the whole neighborhood to life, and even adults sometimes join in to relive childhood memories."
160,کل جب میں اسپتال گیا تو وہاں اتنا رش تھا کہ ڈاکٹر سے ملنے کے لیے گھنٹوں انتظار کرنا پڑا، اور لوگ اپنی باری کے لیے بے صبری سے ایک دوسرے کو دیکھتے رہے جیسے سب کی بیماری سب سے زیادہ ضروری ہے۔,"When I went to the hospital yesterday, it was so overcrowded I had to wait for hours to see a doctor — everyone impatiently watching each other as if their illness was the most urgent."
161,کراچی کے لوگ مشکل حالات میں بھی امید نہیں چھوڑتے، چاہے بجلی چلی جائے یا بارش سے سڑکیں ڈوب جائیں، وہ ہنسی مذاق کے ساتھ حالات کا سامنا کرتے ہیں اور زندگی کو آگے بڑھاتے ہیں۔,"Karachi people never give up hope, whether the electricity goes out or the streets flood in rain — they face every situation with humor and keep moving forward."
162,جب میں دوستوں کے ساتھ سمندر گیا تو لہروں کی آواز نے دل کو سکون دیا، اور شام کی ہوا نے ایسا ماحول بنایا کہ لگ رہا تھا جیسے دنیا کی ساری پریشانیاں ختم ہو گئی ہوں۔,"When I went to the sea with friends, the sound of the waves brought such peace, and the evening breeze created an atmosphere where it felt like all the worries in the world had disappeared."
163,کراچی میں ہر دن ایک نئی کہانی ہوتی ہے، کبھی ٹریفک جام کی، کبھی بارش کی، کبھی مہنگائی کی، اور لوگ اپنی زندگی کو خوشی سے گزارنے کی کوشش کرتے ہیں چاہے حالات کتنے ہی مشکل کیوں نہ ہوں۔,"Every day in Karachi has a new story — sometimes traffic, sometimes rain, sometimes inflation — yet people try to go through life with a smile no matter how tough things get."
164,کل جب میں بازار گیا تو وہاں اتنی روشنی تھی کہ لگ رہا تھا جیسے کوئی تہوار ہو، اور ہر دکان جگمگا رہی تھی جیسے پورا شہر خوشی منا رہا ہو اور لوگ خریداری میں مصروف تھے۔,"When I went to the market yesterday, it was so brightly lit it looked like a festival, every shop was glowing as if the whole city was celebrating and everyone was out shopping."
